No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
995,1202160247,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
996,1202160248,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
997,1202160251,EIM,EDM,EIM,3,5,0,0
998,1202160253,TECHNO,EIM,TECHNO,4,0,0
999,1202160255,EAD,EIM,EAD,0,0,0
1000,1202160256,ERP,EDM,ERP,3,5,0,0
1001,1202160257,ISM,EAD,ISM,0,3,5,0
1002,1202160258,EA,EAD,EAA,4,0,0
1003,1202160262,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1004,1202160264,ERP,EAD,ERP,3,5,0,0
1005,1202160265,ISM,ISM,ISM,0,0,0
1006,1202160266,EAD,ISM,EAD,0,0,3
1007,1202160267,EAD,EIM,EAD,0,0,2
1008,1202160268,ISM,EDM,ISM,0,4,0
1009,1202160269,EAD,EA,EAD,0,0,3,5
1010,1202160277,ERP,TECHNO,ERP,3,5,0,0
1011,1202160278,ISM,EAD,ISM,0,0,0
1012,1202160281,EA,EDM,EAA,3,5,0,0
1013,1202160282,ERP,TECHNO,ERP,3,5,0,0
1014,1202160283,TECHNO,EIM,TECHNO,4,0,0
1015,1202160288,ERP,TECHNO,ERP,4,0,0
1016,1202160292,EA,EDM,EAA,3,5,0,0
1017,1202160293,EDM,ERP,EDM,3,5,0,0
1018,1202160294,EAD,EA,EAD,0,0,0
1019,1202160295,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1020,1202160297,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1021,1202160299,EIM,TECHNO,EIM,3,5,0,0
1022,1202160300,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1023,1202160303,ERP,EAD,ERP,3,5,0,0
1024,1202160308,EAD,EIM,EAD,0,0,0
1025,1202160313,ISM,EAD,ISM,0,0,0
1026,1202160316,EIM,EIM,EIM,3,5,0,0
1027,1202160320,TECHNO,ISM,TECHNO,4,0,0
1028,1202160321,EAD,ERP,EAD,0,0,3,5
1029,1202160322,ISM,TECHNO,ISM,0,3,5,0
