No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Peminatan,MP1,MP2,MP3,Status,Tanggal Lulus,Keterangan
128,1202150257,3.5,3,0,3,3,4,2.5,1,3.5,3,0,3,0,3.5,3.5,2.5,3.5,3.5,4,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
129,1202150258,2.5,2.5,3.5,4,3,2.5,2,1,3.5,3.5,3.5,4,3.5,3.5,3,2,3,3.5,2.5,3.5,ISM,ISM,4,4,3,GRADUATED,16/08/19,TEPAT WAKTU
130,1202150259,3.5,4,4,4,4,4,4,4,4,3.5,4,4,4,3.5,3.5,4,4,4,4,4,EIM,EIM,3.5,4,4,GRADUATED,10/07/19,TEPAT WAKTU
131,1202150260,2,2.5,3.5,3,3.5,2.5,2,3,3,4,2.5,4,3.5,3.5,3.5,3,2,3.5,3.5,3.5,ERP,ERP,3.5,2,3.5,GRADUATED,30/08/19,TEPAT WAKTU
132,1202150261,3.5,3.5,3.5,3.5,4,2.5,4,4,3.5,3.5,4,4,4,3.5,3,3.5,3.5,3.5,3.5,3.5,EA,EA,4,3.5,4,GRADUATED,05/07/19,TEPAT WAKTU
133,1202150262,0,0,0,0,0,0,0,3.5,3,0,3.5,4,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
134,1202150263,3,2,3.5,2.5,3,2,3.5,2.5,2.5,3.5,2,4,2.5,3,3,2,2,2,2.5,3,EA,EA,3.5,3,3.5,GRADUATED,30/08/19,TEPAT WAKTU
135,1202150264,3.5,2.5,4,3.5,3.5,4,4,4,2.5,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,3,ERP,ERP,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
136,1202150265,2.5,3,3.5,2.5,3.5,3.5,2.5,2,3.5,2.5,3.5,4,3,3.5,3,2.5,3,3,3,3.5,EA,EA,4,3,3,GRADUATED,05/07/19,TEPAT WAKTU
137,1202150266,2,2.5,3,2,2.5,3,2,2,3.5,2.5,3.5,4,3,3,2.5,2.5,2,2.5,2,1,EA,EA,4,3,0,STUDENT,OUT,TIDAK TEPAT WAKTU
138,1202150267,2.5,3,3.5,3.5,4,2,2,1,3.5,3.5,4,4,3.5,4,3,2.5,3,3.5,4,4,ERP,ERP,3.5,2,4,GRADUATED,05/07/19,TEPAT WAKTU
139,1202150268,2.5,3.5,3.5,3.5,4,2,3,3.5,2.5,3.5,3,4,4,3,3,2.5,2.5,3.5,3.5,3.5,EA,EA,3,2,3.5,GRADUATED,16/08/19,TEPAT WAKTU
140,1202150269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
141,1202150270,3.5,3,3,4,3.5,3,3.5,4,3.5,3,3.5,4,3.5,3.5,3.5,2.5,2.5,3.5,3.5,3.5,ERP,ERP,3.5,3,3.5,GRADUATED,16/08/19,TEPAT WAKTU
142,1202150271,3.5,3,3.5,4,3.5,3,4,4,3,4,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,4,EA,EA,4,2.5,4,GRADUATED,05/07/19,TEPAT WAKTU
143,1202150272,3.5,2.5,4,3.5,3.5,3.5,3.5,2.5,2.5,3.5,4,4,4,4,3,2,2.5,3,2.5,2.5,EA,EA,4,3.5,3,GRADUATED,05/07/19,TEPAT WAKTU
144,1202150273,2,3.5,3,3.5,3.5,3.5,2.5,2,3.5,2.5,4,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5,4,EA,EA,4,3.5,4,GRADUATED,28/06/19,TEPAT WAKTU
145,1202150274,2,3.5,3.5,3.5,3.5,3.5,3,3,3.5,3.5,3,4,4,3.5,3.5,2.5,3,3.5,3,3.5,ISM,ISM,4,4,3,GRADUATED,16/08/19,TEPAT WAKTU
146,1202150275,2,3.5,3.5,3.5,4,2,2,2.5,3.5,3,3.5,4,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
147,1202150276,2,3,3,3,4,3,3.5,4,3.5,4,3.5,4,4,3.5,3.5,3.5,2,3.5,3.5,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
148,1202150277,3.5,3,3.5,3,4,2.5,4,1,2.5,3.5,4,4,4,3.5,3.5,2,3.5,3.5,3.5,3.5,ERP,ERP,4,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
149,1202150278,3.5,3.5,3,4,3.5,3.5,4,4,4,4,4,4,4,4,3.5,4,3.5,3.5,4,4,OUT,OUT,0,0,0,GRADUATED,25/01/19,TEPAT WAKTU
150,1202150279,3.5,3.5,3,3,3.5,2.5,4,4,2.5,4,2.5,4,3.5,3.5,3,3,2.5,3.5,3.5,3.5,ERP,ERP,3.5,2.5,3.5,GRADUATED,16/08/19,TEPAT WAKTU
151,1202150280,3.5,3.5,3.5,3.5,3.5,4,4,4,3,3.5,4,4,4,4,3.5,3,3.5,3.5,3.5,4,EA,EA,4,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
152,1202150282,3,3.5,4,4,3.5,3.5,3.5,4,3,3.5,3,4,3.5,3.5,3.5,3,3.5,3.5,2.5,3,EAD,EAD,4,3.5,4,GRADUATED,16/08/19,TEPAT WAKTU
153,1202150283,2,3,4,3.5,3.5,3,2.5,1,2.5,3,3.5,4,3,3.5,3.5,2,3.5,3.5,3,3.5,ERP,ERP,3.5,2,3.5,GRADUATED,05/07/19,TEPAT WAKTU
154,1202150284,2,2.5,3.5,3.5,4,2.5,2,3,4,3.5,3,4,4,3,2.5,2.5,3,3.5,3.5,3.5,ERP,ERP,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
155,1202150285,3.5,2.5,3.5,3,4,2,4,4,3,3.5,3.5,4,4,3.5,3.5,2.5,2.5,3.5,3.5,3.5,ERP,ERP,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
156,1202150286,2,2,2,2,3.5,2,2,3.5,2.5,3,2,4,2,3.5,2.5,0,2,2,3.5,2.5,EA,EA,2,2.5,3,STUDENT,OUT,TIDAK TEPAT WAKTU
157,1202150287,2.5,2,3,3,2.5,2,2.5,3,2.5,2.5,3,4,2.5,3,2.5,2,2.5,2,2,2.5,ERP,ERP,3.5,2.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
158,1202150288,4,2.5,4,3.5,3.5,3.5,4,4,3,3.5,4,4,4,4,3.5,3.5,3.5,4,3.5,4,EIM,EIM,3.5,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
159,1202150289,2.5,3.5,3.5,2.5,2.5,3.5,3,1,3.5,2.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3,3.5,EA,EA,4,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
160,1202150366,3.5,3,3.5,4,3.5,4,4,4,4,4,3.5,4,3.5,4,3.5,3.5,4,4,4,4,EA,EA,4,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
161,1202150372,2.5,2,3.5,2,2.5,1,3.5,1,2,2,3,2.5,1,2,2,2,2,2,2.5,2,ISM,ISM,3.5,3.5,0,STUDENT,OUT,TIDAK TEPAT WAKTU
162,1202150373,3.5,2.5,4,3.5,3.5,3.5,3.5,4,3,3.5,4,4,3.5,3.5,3.5,2,2.5,3,3.5,3.5,ERP,ERP,4,3.5,4,GRADUATED,05/07/19,TEPAT WAKTU
163,1202150375,3,3.5,0,3.5,3.5,0,2,1,3,4,3.5,4,3,0,3.5,3.5,0,0,4,0,OUT,OUT,0,0,0,NON-ACTIVE,OUT,TIDAK TEPAT WAKTU
164,1202150379,3,2.5,4,2.5,3.5,2,3.5,2,2,3.5,3,4,3.5,3,3,2.5,3,2.5,3.5,3.5,EA,EA,3.5,3,3,GRADUATED,28/06/19,TEPAT WAKTU
165,1202151228,2.5,3.5,3.5,3,3.5,2.5,2,0,3,3.5,3,4,3.5,2.5,3.5,3.5,3,3.5,3,3,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
166,1202151229,0,0,0,0,0,0,0,0,2.5,0,2.5,4,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
167,1202151230,3.5,2.5,3.5,0,3.5,2,2,0,2.5,3,3,4,2,3,3,2,3.5,3,3.5,3.5,EAD,EAD,4,3.5,4,GRADUATED,30/08/19,TEPAT WAKTU
168,1202151231,2,2,3.5,2,2,1,2,0,2,0,3,3.5,1,2,3,2,2,0,2.5,2.5,TECHNO,TECHNO,3,3,0,STUDENT,OUT,TIDAK TEPAT WAKTU
169,1202151232,3.5,2,3.5,3,3.5,3.5,3,2,2.5,4,4,4,3.5,2.5,3,3,2,3.5,3,3.5,EAD,EAD,3,3.5,3,GRADUATED,16/08/19,TEPAT WAKTU
170,1202151233,3,3.5,0,4,2.5,3,1,1,4,2.5,3.5,3,2,2,3.5,3.5,3.5,3,4,3.5,TECHNO,TECHNO,3.5,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
171,1202151234,2.5,3,3.5,3,2,1,1,1,3,1,3,4,3,2.5,2.5,2.5,2.5,2.5,2.5,1,EIM,EIM,3.5,4,3,GRADUATED,30/08/19,TEPAT WAKTU
172,1202151235,0,0,0,0,0,0,0,0,3.5,0,3,4,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
173,1202151364,3,3,4,3.5,4,3.5,2.5,3,4,4,3.5,4,4,3,4,3.5,3.5,3.5,4,4,EDM,EDM,3.5,4,4,GRADUATED,10/07/19,TEPAT WAKTU
174,1202151365,3.5,3,3.5,3.5,4,3.5,3.5,2.5,4,3.5,3.5,4,4,3.5,3.5,2.5,3.5,2,3.5,3.5,TECHNO,TECHNO,4,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
175,1202152157,3.5,2.5,0,0,3,3.5,4,4,3.5,0,4,4,2.5,2,2,2,0,0,3.5,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
176,1202152158,2.5,3,3.5,0,3.5,3,2,2.5,3.5,3.5,3,4,3.5,3.5,3,3.5,4,3.5,4,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
177,1202152159,2.5,2,3.5,2.5,3,2,3.5,1,2,3.5,2,4,2.5,3,3,2,2.5,3,2.5,3,EA,EA,4,2.5,0,STUDENT,OUT,TIDAK TEPAT WAKTU
178,1202152160,3.5,2,4,0,3.5,3.5,3.5,3,2.5,3.5,4,4,3.5,3.5,3,2,2.5,3.5,2,3,ERP,ERP,4,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
179,1202152161,2,0,2,3.5,1,3,1,1,3.5,1,3.5,3.5,3,2.5,2,2,2,3,2,2,ISM,ISM,3.5,4,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
180,1202152162,3,2.5,3.5,4,3,2,2,1,4,3.5,3.5,4,2.5,3,3,2,3,3.5,2,3.5,EIM,EIM,3,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
181,1202152163,2,2.5,3.5,3.5,3.5,2,2.5,0,3.5,2.5,4,4,2,4,2,2.5,3.5,3,3,4,TECHNO,TECHNO,4,4,2.5,GRADUATED,30/08/19,TEPAT WAKTU
182,1202152164,2,4,3.5,3.5,4,3,3,2,3.5,3,3,4,4,3,3.5,2.5,3.5,3.5,3.5,3.5,EA,EA,4,3.5,3.5,GRADUATED,28/06/19,TEPAT WAKTU
183,1202152165,3.5,2.5,3.5,2.5,3,2.5,4,3.5,3.5,3,3.5,4,3.5,2,2,2,2,3,3.5,2,TECHNO,TECHNO,3,3.5,2.5,GRADUATED,30/08/19,TEPAT WAKTU
184,1202152166,3.5,3.5,3.5,4,4,4,4,3.5,4,4,4,4,4,4,3.5,3.5,4,3.5,4,4,EA,EA,4,4,3,GRADUATED,28/06/19,TEPAT WAKTU
185,1202152167,2.5,2,3,3,2.5,0,2.5,1,2,1,2,3,2.5,0,2,2,0,0,2,1,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
186,1202152168,3.5,2,4,3,3,3,3,1,2,3.5,4,4,3.5,3,3,3.5,3,3,3,3,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
187,1202152169,2,2.5,0,4,2.5,2,2,1,3,2.5,3.5,2,2.5,3,3,2,2.5,3.5,3.5,2.5,EA,EA,3.5,3,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
188,1202152170,0,0,0,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,1,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
189,1202152171,2,2,4,3.5,3.5,3,3.5,0,3,3.5,3.5,4,3.5,3.5,2.5,2,3.5,2.5,3.5,3.5,ERP,ERP,3.5,3.5,0,STUDENT,OUT,TIDAK TEPAT WAKTU
190,1202152172,2,3,3,2.5,3.5,1,1,1,2,2,2,4,3.5,2.5,2,2,2,2.5,2.5,3,ISM,ISM,3.5,3.5,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
191,1202152173,3.5,3,2.5,3.5,3.5,3,4,4,3.5,3.5,4,4,4,3,2,2.5,3.5,4,3.5,3.5,EA,EA,3,3.5,4,GRADUATED,28/06/19,TEPAT WAKTU
192,1202152174,3.5,3.5,3,4,3.5,3,3.5,4,3.5,3,3,4,3.5,3.5,3,2,3,4,4,3.5,ERP,ERP,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
193,1202152175,2.5,2.5,3.5,3,2.5,2,3,2,2.5,3,2,3.5,3.5,2.5,2.5,2,2,2.5,2.5,3,EA,EA,4,3,3.5,GRADUATED,30/08/19,TEPAT WAKTU
194,1202152176,4,3,4,3.5,4,4,4,4,3,3.5,4,4,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,EAD,EAD,4,3.5,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
195,1202152177,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
196,1202152178,3.5,3.5,4,4,3.5,2.5,3.5,2.5,4,4,3,4,3.5,3.5,3.5,4,3.5,4,3,4,TECHNO,TECHNO,3.5,4,4,GRADUATED,30/08/19,TEPAT WAKTU
197,1202152179,2,2,3.5,3,3,2,2,0,2,2.5,3,4,2.5,3,2.5,1,2.5,3,3,2.5,ISM,ISM,4,4,3,GRADUATED,30/08/19,TEPAT WAKTU
198,1202152180,3.5,3,3,4,3.5,2,2.5,2,3,3.5,3,4,2,3,2.5,2,2,3.5,2,3.5,EA,EA,4,3.5,4,GRADUATED,30/08/19,TEPAT WAKTU
199,1202152181,3,2.5,3,2,3.5,2.5,2.5,2,2.5,3.5,3,4,3,3,2.5,2.5,3,3,3,3.5,EIM,EIM,3,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
200,1202152322,3,3.5,3.5,3,3,3,2.5,2,3.5,3.5,3.5,4,4,3.5,3,3,3.5,3.5,2.5,2.5,EA,EA,4,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
201,1202152323,3,3.5,4,3.5,4,3.5,3,3.5,3,3.5,3.5,4,4,3.5,3.5,4,3.5,4,4,4,ERP,ERP,4,4,4,GRADUATED,10/07/19,TEPAT WAKTU
202,1202152324,2.5,3.5,3,3.5,4,3,3.5,4,3.5,4,3.5,4,4,3.5,3,3.5,3,4,4,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
203,1202152325,2.5,2,4,2,3.5,3.5,2,1,3,3,3.5,4,2,2.5,2,2,2,2,2,2.5,EA,EA,4,2.5,0,GRADUATED,30/08/19,TEPAT WAKTU
204,1202152326,3,2,3,0,3.5,2.5,2,0,2,3.5,2.5,4,3,3,2.5,2,2,3,3.5,3,EAD,EAD,0,3.5,2,STUDENT,OUT,TIDAK TEPAT WAKTU
205,1202152327,3.5,2,4,3,3,3,3.5,4,3,3.5,2.5,4,3,3.5,3.5,2.5,3.5,3.5,4,4,ERP,ERP,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
206,1202152328,3.5,2.5,3.5,3.5,3.5,3.5,4,4,3,3.5,4,4,4,4,3.5,3,3.5,3.5,3.5,4,ERP,ERP,4,4,4,GRADUATED,10/07/19,TEPAT WAKTU
207,1202152329,3,4,3,4,3.5,3,3.5,4,4,3.5,4,3.5,4,4,3.5,2.5,3.5,3.5,3.5,4,EA,EA,4,3.5,4,GRADUATED,05/07/19,TEPAT WAKTU
208,1202152330,3.5,4,4,4,3.5,3.5,3.5,2,4,3.5,3.5,4,4,3.5,3.5,2,4,4,3,4,ERP,ERP,4,4,4,GRADUATED,05/07/19,TEPAT WAKTU
209,1202152331,2.5,0,0,0,0,1,0,2,3,3,3.5,4,0,0,0,0,0,0,3,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
210,1202152332,2,2.5,3.5,3,3.5,1,2,1,2,3.5,3,4,3.5,2.5,2,2,2,3.5,2.5,2.5,ERP,ERP,4,2,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
211,1202152333,3.5,3,3.5,4,4,2,4,4,3,4,4,4,4,3.5,3.5,3,3,3.5,3.5,3.5,ISM,ISM,4,4,4,GRADUATED,30/08/19,TEPAT WAKTU
212,1202152334,3,2.5,2,2,3,2.5,2,1,2,3.5,3,4,4,3,2.5,1,2,2.5,3.5,2.5,EDM,EDM,4,0,0,GRADUATED,30/08/19,TEPAT WAKTU
213,1202152335,3,2.5,3,3,3,2.5,3.5,3,3,3,2,4,2.5,3.5,2.5,2.5,2.5,3.5,3,3.5,ISM,ISM,3.5,3.5,3.5,GRADUATED,16/08/19,TEPAT WAKTU
214,1202152336,0,0,0,0,0,0,0,4,3.5,0,4,4,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
215,1202153367,3.5,0,2,3.5,3.5,3.5,2.5,2.5,4,2.5,3.5,2.5,3.5,2,2,3,3.5,2.5,3.5,3,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
216,1202153368,3.5,2.5,3,3.5,3.5,2.5,2.5,1,3,4,3,3,3.5,3.5,3,2.5,2.5,2.5,3,3.5,ERP,ERP,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
217,1202153369,3.5,0,3.5,1,3.5,2.5,1,2,3.5,1,2,2,3,2,2.5,2.5,2.5,3.5,2,2.5,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
218,1202153370,0,0,0,0,0,0,0,0,3,0,2.5,2.5,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
219,1202153371,4,2.5,3.5,3.5,3.5,3.5,4,3.5,4,3,4,4,4,3.5,3.5,3.5,3.5,4,3.5,4,EIM,EIM,3.5,4,4,GRADUATED,05/07/19,TEPAT WAKTU
220,1202153376,3.5,3,3.5,3,3.5,3.5,2,3,3.5,2.5,2.5,3.5,3.5,3.5,3,3,3,3.5,3,3,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
221,1202153381,3.5,3,3.5,3.5,3.5,4,4,3,4,2.5,3.5,4,4,3.5,3.5,3.5,3.5,4,2.5,3.5,EA,EA,4,3,3.5,GRADUATED,28/06/19,TEPAT WAKTU
222,1202153382,0,0,0,0,0,0,0,0,2,0,3,2.5,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
223,1202154116,3,3,3,3,3.5,3,2,1,3.5,3.5,3,4,3.5,3,2.5,3,3.5,3.5,3.5,3.5,EIM,EIM,2.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
224,1202154117,3.5,2.5,3.5,2,4,3.5,3.5,2.5,3,3.5,3.5,4,4,3.5,2.5,4,3.5,3.5,4,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
225,1202154118,3.5,2.5,3.5,0,3.5,3,2,0,3.5,3.5,2,4,3.5,3.5,3,2,3.5,3,4,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
226,1202154119,3.5,2.5,4,3.5,3.5,3.5,3.5,2,3.5,4,3,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
227,1202154120,3.5,2.5,4,3.5,3.5,3.5,3.5,4,3,4,4,4,4,3.5,3.5,3.5,4,3.5,3.5,4,EIM,EIM,3.5,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
228,1202154121,3,3.5,2,3.5,3,3.5,3,2,4,3,3.5,2.5,3.5,3,3.5,3.5,3,3.5,3.5,3.5,ERP,ERP,4,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
229,1202154122,2.5,3,3.5,3.5,2.5,2,2,2,3.5,2.5,2.5,4,3.5,2.5,2,2.5,3,3,3,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
230,1202154123,3,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3.5,4,4,3.5,3.5,3.5,3,3,3.5,3.5,4,EAD,EAD,4,3.5,3,GRADUATED,16/08/19,TEPAT WAKTU
231,1202154124,2,2.5,3.5,2.5,3.5,1,0,2,2.5,3.5,3.5,4,3.5,2,2,2,1,3,3,2.5,ISM,ISM,0,3.5,0,STUDENT,OUT,TIDAK TEPAT WAKTU
232,1202154125,3,2.5,3,1,3.5,2.5,3.5,0,3,3,2,4,4,2.5,2,2,3.5,2.5,3,3.5,EA,EA,4,0,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
233,1202154126,3.5,2.5,3.5,2,3.5,2,3.5,1,2.5,3,2.5,3.5,2,2.5,2,2,2,2.5,3.5,3,EDM,EDM,3.5,3.5,3,STUDENT,OUT,TIDAK TEPAT WAKTU
234,1202154127,3.5,3,3.5,1,3.5,3.5,3,3,3,3.5,3,4,3.5,2,3,3.5,3.5,3.5,3.5,3.5,EDM,EDM,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
235,1202154128,3,0,0,0,0,0,3.5,1,2,2.5,4,3.5,0,1,0,0,0,0,2.5,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
236,1202154129,3.5,3.5,4,4,3.5,4,3,2,4,3.5,3.5,4,3.5,3,4,2.5,3.5,3.5,3.5,3.5,EDM,EDM,4,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
237,1202154130,2,2.5,3.5,2.5,2.5,2.5,1,2,3.5,3.5,3.5,4,3.5,3.5,3.5,3,3,3.5,2.5,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
238,1202154131,2,1,3.5,3,3,3.5,1,0,3.5,2,3,4,0,2,1,0,0,0,3.5,3.5,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
239,1202154132,2,3,3.5,3,3.5,2.5,2,1,2,3.5,2.5,4,4,2.5,3,2,2,3,3.5,3.5,ISM,ISM,4,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
240,1202154133,3,3,3.5,3,4,2.5,3,3,3,3.5,4,4,4,3.5,2.5,2.5,3.5,3,3.5,3.5,TECHNO,TECHNO,3,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
241,1202154134,3.5,2.5,3.5,2,3.5,3,3.5,3.5,3.5,3.5,3,4,3,3.5,2.5,2,3.5,2.5,3.5,3.5,EAD,EAD,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
242,1202154135,3.5,2.5,3.5,3,2,2,2,0,2.5,3.5,3,3.5,2.5,2,3,2,2,2.5,2,3,EDM,EDM,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
243,1202154136,4,3,4,4,4,4,3.5,4,4,4,4,4,4,3.5,3.5,4,4,3.5,3,4,EDM,EDM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
244,1202154137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
245,1202154138,3,2,3.5,3,2.5,2,2.5,0,4,3,3.5,4,2.5,3,3.5,2,3.5,3.5,2.5,3,EDM,EDM,3.5,3.5,3,GRADUATED,30/08/19,TEPAT WAKTU
246,1202154139,2,2.5,4,3.5,3.5,2,2,1,3.5,3,3,4,3,3,3,3.5,3.5,3,4,3.5,EIM,EIM,3,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
247,1202154140,2,0,3,2.5,3,0,0,0,2,1,2,4,2.5,2,0,2,1,1,1,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
248,1202154141,2.5,1,3,1,2.5,2,0,1,3,2,3.5,4,1,2,1,0,2,1,2,2.5,EA,EA,0,3,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
249,1202154142,3,2.5,3.5,0,3.5,2,1,0,3,3,2.5,4,3,3,2,2,2.5,2.5,2.5,3.5,EA,EA,4,3,0,STUDENT,OUT,TIDAK TEPAT WAKTU
250,1202154143,3.5,3,3.5,3.5,3,3,3.5,1,3.5,4,3.5,3.5,3,3.5,3,2.5,3.5,2.5,3,3,ERP,ERP,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
251,1202154144,3.5,2.5,3.5,3,3,3.5,3.5,3.5,2.5,3,4,4,3.5,3.5,3.5,2.5,3,3,3,3.5,EIM,EIM,3.5,4,2.5,GRADUATED,30/08/19,TEPAT WAKTU
252,1202154145,3.5,3.5,2.5,4,4,3.5,2.5,2,3.5,3.5,4,3.5,4,3.5,3.5,3,3.5,3.5,4,4,ERP,ERP,4,4,4,GRADUATED,05/07/19,TEPAT WAKTU
253,1202154146,2.5,2.5,3.5,3,2.5,2,1,2,3.5,3.5,3,4,3.5,2.5,2.5,2,3.5,3.5,3.5,3,ISM,ISM,3.5,4,3.5,GRADUATED,16/08/19,TEPAT WAKTU
254,1202154147,3,2.5,4,3,3.5,2,2,1,2,2,3,4,2.5,3.5,3,2,2.5,3,2,3,EA,EA,3.5,3,3,STUDENT,OUT,TIDAK TEPAT WAKTU
255,1202154148,3,4,3.5,3.5,4,3.5,3.5,4,3.5,4,3.5,4,4,3.5,3.5,2.5,2.5,4,4,4,EAD,EAD,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
256,1202154149,3.5,2,4,1,3.5,2,1,2.5,3.5,2,2,4,2,2.5,2,2,2.5,2.5,2.5,2.5,EA,EA,4,0,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
257,1202154150,3.5,3,4,3.5,3.5,4,3.5,3.5,3,3.5,3,4,3,3.5,3,3,3.5,3.5,4,3.5,EDM,EDM,4,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
258,1202154151,3.5,2.5,3,3,3,2.5,3,1,3.5,3.5,3.5,4,3,3.5,3,3,3,3.5,3,3.5,ISM,ISM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
