,NIM,Technopreneur,EAD,ERP,EDM,EA,ISM,EIM,Peminatan,Keterangan
103,1202170319,0,0,0,0,0,0,0,EAD,Tidak Cocok
104,1202170323,1,1,1,1,1,1,1,EIM,Cocok
105,1202170327,1,1,1,1,1,1,1,ERP,Cocok
106,1202170329,1,1,1,0,1,1,1,EDM,Tidak Cocok
107,1202170330,1,1,1,0,1,1,1,EAD,Cocok
108,1202170332,1,1,0,1,1,1,1,ISM,Cocok
109,1202170333,1,1,1,0,1,1,1,EAD,Cocok
110,1202170336,0,0,0,0,0,0,0,EAD,Tidak Cocok
111,1202170337,1,1,1,0,1,1,1,EA,Cocok
112,1202170338,0,0,0,0,0,0,0,0,0
113,1202170343,0,0,0,0,0,1,1,EIM,Cocok
114,1202170344,1,1,1,1,1,1,1,EDM,Cocok
115,1202170346,0,0,0,0,0,0,0,0,0
116,1202170349,0,0,1,0,0,1,0,TECHNO,Tidak Cocok
117,1202170353,0,0,1,1,0,1,1,EDM,Cocok
118,1202170356,1,1,1,1,1,1,0,ERP,Cocok
119,1202170357,1,1,1,1,0,1,1,EDM,Cocok
120,1202170360,1,1,1,0,1,1,1,ISM,Cocok
121,1202170364,0,0,1,0,1,0,0,EAD,Tidak Cocok
122,1202170365,0,0,1,1,0,1,1,EAD,Tidak Cocok
123,1202170366,1,1,1,1,1,1,1,EAD,Cocok
124,1202170367,1,1,1,1,1,1,1,TECHNO,Cocok
125,1202170369,1,1,1,0,1,1,1,EAD,Cocok
126,1202170371,0,0,0,0,0,1,0,EAD,Tidak Cocok
127,1202170382,1,1,1,1,1,1,1,TECHNO,Cocok
128,1202170385,1,1,1,1,1,1,1,EAD,Cocok
129,1202170386,1,1,0,0,0,1,0,ISM,Cocok
130,1202170389,0,0,0,1,0,1,1,EAD,Tidak Cocok
131,1202170401,1,1,1,1,1,1,1,EA,Cocok
132,1202171049,1,1,1,1,1,1,0,EDM,Cocok
133,1202171098,1,1,1,1,1,1,1,TECHNO,Cocok
134,1202171116,1,1,1,1,1,1,1,ERP,Cocok
135,1202171119,1,1,1,1,1,1,1,ERP,Cocok
136,1202171120,1,1,1,1,1,1,1,EAD,Cocok
137,1202171139,1,1,1,1,0,1,1,EDM,Cocok
138,1202171186,1,1,1,1,1,1,1,TECHNO,Cocok
139,1202171206,1,1,1,1,1,1,1,EAD,Cocok
140,1202171331,1,1,1,1,1,1,1,TECHNO,Cocok
141,1202172001,1,1,1,0,0,1,1,EIM,Cocok
142,1202172009,1,1,1,1,1,1,1,ERP,Cocok
143,1202172014,1,1,1,1,1,1,1,EA,Cocok
144,1202172017,1,1,1,0,1,1,1,ERP,Cocok
145,1202172019,1,1,1,0,0,1,1,ISM,Cocok
146,1202172024,1,1,1,1,1,1,1,EDM,Cocok
147,1202172041,1,1,1,1,1,1,1,EIM,Cocok
148,1202172045,1,1,1,1,1,1,1,ISM,Cocok
149,1202172047,1,1,1,1,1,1,1,EDM,Cocok
150,1202172051,0,0,0,0,0,1,1,ISM,Cocok
151,1202172054,1,1,1,1,1,1,1,EAD,Cocok
152,1202172055,1,1,1,1,1,1,1,EAD,Cocok
153,1202172060,0,0,1,1,0,1,0,0,0
154,1202172064,1,1,1,1,1,1,1,EIM,Cocok
155,1202172073,1,1,1,1,1,1,1,EDM,Cocok
156,1202172094,1,1,1,1,1,1,1,ISM,Cocok
157,1202172100,1,1,1,0,1,1,1,EAD,Cocok
158,1202172141,1,1,1,1,1,1,1,ERP,Cocok
159,1202172144,1,1,1,1,0,1,1,EDM,Cocok
160,1202172152,1,1,1,0,1,1,1,EDM,Tidak Cocok
161,1202172176,0,0,0,1,0,1,1,ISM,Cocok
162,1202172192,1,1,1,1,1,1,1,TECHNO,Cocok
163,1202172230,1,1,1,1,1,1,1,EDM,Cocok
164,1202172276,1,1,1,1,1,1,1,TECHNO,Cocok
165,1202172300,0,0,1,0,0,1,1,TECHNO,Tidak Cocok
166,1202172312,0,0,0,0,0,0,0,0,0
167,1202172341,1,1,1,1,1,1,1,EAD,Cocok
168,1202172348,1,1,1,1,1,1,1,ISM,Cocok
169,1202172350,1,1,1,0,1,1,1,EIM,Cocok
170,1202172358,0,0,0,0,0,1,0,ISM,Cocok
171,1202172361,0,1,1,0,1,1,1,EAD,Cocok
172,1202172362,1,1,1,1,1,1,1,ISM,Cocok
173,1202172370,1,1,1,1,1,1,1,EAD,Cocok
174,1202172373,1,1,1,1,1,1,1,EIM,Cocok
175,1202172379,1,1,1,1,1,1,1,ERP,Cocok
176,1202172391,1,1,1,0,0,1,1,EIM,Cocok
177,1202172398,1,1,1,1,1,1,1,EAD,Cocok
178,1202173095,0,0,0,0,0,1,1,EAD,Tidak Cocok
179,1202173102,0,0,1,0,0,1,1,ISM,Cocok
180,1202173112,1,1,1,1,0,1,1,EAD,Cocok
181,1202173123,1,1,1,0,1,1,1,EDM,Tidak Cocok
182,1202173147,1,1,1,1,1,1,1,EIM,Cocok
183,1202173150,1,1,1,0,1,1,1,TECHNO,Cocok
184,1202173177,1,1,1,1,1,1,1,EAD,Cocok
185,1202173178,1,1,1,1,1,1,1,0,0
186,1202173184,1,1,1,1,1,1,1,EIM,Cocok
187,1202173194,1,0,1,0,0,1,0,ISM,Cocok
188,1202173222,1,1,1,0,0,1,1,EAD,Cocok
189,1202173231,0,0,1,0,0,1,1,EDM,Tidak Cocok
190,1202173247,1,0,1,0,0,1,1,EDM,Tidak Cocok
191,1202173263,1,1,1,0,1,1,0,EAD,Cocok
192,1202173277,1,1,1,1,1,1,1,EAD,Cocok
193,1202173287,1,1,1,1,1,1,1,ISM,Cocok
194,1202173291,0,0,0,0,0,0,0,0,0
195,1202173297,1,1,1,0,1,1,1,ISM,Cocok
196,1202173304,0,0,0,0,0,1,0,EDM,Tidak Cocok
197,1202173307,1,1,1,1,1,1,1,ERP,Cocok
198,1202173328,1,1,1,1,1,1,1,ERP,Cocok
199,1202173339,1,0,1,0,0,1,1,ISM,Cocok
200,1202173377,1,1,1,1,1,1,1,EDM,Cocok
201,1202173383,0,0,1,0,0,1,0,EAD,Tidak Cocok
202,1202173384,0,0,0,0,0,0,0,0,0
203,1202174002,0,1,1,1,1,1,1,EA,Cocok
204,1202174003,1,1,1,1,1,1,1,EAD,Cocok
205,1202174004,1,1,1,1,1,1,1,ERP,Cocok
206,1202174005,1,1,1,1,1,1,1,ERP,Cocok
207,1202174007,0,0,0,1,0,0,0,EDM,Cocok
208,1202174008,1,1,1,1,1,1,1,EAD,Cocok
209,1202174012,1,1,1,1,1,1,1,EA,Cocok
210,1202174016,1,1,1,1,1,1,1,TECHNO,Cocok
211,1202174020,1,1,1,1,1,1,1,EIM,Cocok
212,1202174021,0,0,0,0,0,1,1,0,0
213,1202174027,1,1,1,1,1,1,1,ISM,Cocok
214,1202174028,1,1,1,1,1,1,1,TECHNO,Cocok
215,1202174031,0,0,0,0,0,0,0,0,0
216,1202174032,1,1,1,1,1,1,1,EAD,Cocok
217,1202174033,1,1,1,1,1,1,1,EIM,Cocok
218,1202174034,0,0,0,1,0,1,0,TECHNO,Tidak Cocok
219,1202174036,0,0,0,1,0,1,1,EAD,Tidak Cocok
220,1202174037,1,1,1,1,1,1,1,EDM,Cocok
221,1202174039,1,1,1,0,1,1,1,ERP,Cocok
222,1202174040,0,0,1,0,0,1,0,0,0
223,1202174048,1,1,1,1,1,1,1,EA,Cocok
224,1202174052,0,0,0,0,1,0,1,EDM,Tidak Cocok
225,1202174057,0,0,1,1,0,0,0,0,0
226,1202174059,1,1,1,1,1,1,1,ISM,Cocok
227,1202174061,1,1,1,1,1,1,1,ERP,Cocok
228,1202174065,1,1,1,1,1,1,1,EDM,Cocok
229,1202174068,1,1,1,1,1,1,1,EAD,Cocok
230,1202174071,1,1,1,0,1,1,1,EIM,Cocok
231,1202174072,1,1,0,1,0,1,1,EDM,Cocok
232,1202174074,1,0,0,1,1,1,1,EIM,Cocok
233,1202174075,1,0,0,0,0,1,1,EDM,Tidak Cocok
234,1202174076,1,1,1,1,1,1,1,EA,Cocok
235,1202174078,1,0,1,0,0,1,0,EDM,Tidak Cocok
236,1202174079,1,0,1,1,0,1,1,ISM,Cocok
237,1202174082,1,1,1,1,1,1,1,TECHNO,Cocok
238,1202174083,1,1,1,1,1,1,1,EAD,Cocok
239,1202174084,1,1,1,1,1,1,1,EIM,Cocok
240,1202174085,1,0,1,0,1,1,1,ISM,Cocok
241,1202174086,1,1,1,1,1,1,1,EA,Cocok
242,1202174087,1,1,1,0,0,0,0,EAD,Cocok
243,1202174088,1,0,1,1,0,1,1,ISM,Cocok
244,1202174089,1,0,1,1,0,1,1,EA,Tidak Cocok
245,1202174090,1,1,1,1,1,1,1,ISM,Cocok
246,1202174091,1,1,1,1,1,1,1,ISM,Cocok
247,1202174096,1,1,1,1,1,1,1,ISM,Cocok
248,1202174103,1,1,1,1,1,1,1,ERP,Cocok
249,1202174104,1,1,1,0,1,1,1,EA,Cocok
250,1202174105,1,1,0,1,0,1,1,ISM,Cocok
251,1202174107,1,1,1,1,1,1,1,ISM,Cocok
252,1202174111,1,1,1,1,1,1,1,EAD,Cocok
253,1202174113,1,1,1,1,1,1,1,EDM,Cocok
254,1202174114,1,1,1,1,1,1,1,EIM,Cocok
255,1202174122,1,1,1,1,1,1,1,EAD,Cocok
256,1202174124,1,1,1,1,1,1,1,ISM,Cocok
257,1202174125,1,1,1,1,1,1,1,EA,Cocok
258,1202174126,1,1,1,1,1,1,1,EA,Cocok
259,1202174127,0,0,0,0,0,1,1,EAD,Tidak Cocok
260,1202174128,1,1,1,1,1,1,1,ISM,Cocok
261,1202174129,1,1,1,1,1,1,1,EA,Cocok
262,1202174134,1,1,1,1,1,1,1,EDM,Cocok
