,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
35,36,1202160074,4.0,3.5,3.5,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,3.0,3.5,1
36,37,1202160076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
37,38,1202160080,2.5,3.0,3.0,3.5,3.0,0.0,2.0,3.5,2.5,3.0,2.5,2.5,3.5,2.5,1.0,2.0,3.0,2.0,1.0,0
38,39,1202160082,4.0,3.5,3.5,3.5,3.5,1.0,2.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.0,4.0,3.5,3.0,3.0,1
39,40,1202160083,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.0,2.5,3.0,2.5,3.5,3.0,3.5,3.5,3.5,3.5,2.0,3.0,1
40,41,1202160084,3.0,2.5,2.0,3.0,1.0,1.0,2.5,3.5,2.0,3.0,2.0,2.0,2.0,3.0,2.5,2.0,2.0,1.0,2.0,1
41,42,1202160086,3.5,4.0,3.5,3.5,3.0,3.5,4.0,4.0,3.0,3.5,3.0,3.5,4.0,3.5,3.0,3.5,3.5,4.0,2.5,1
42,43,1202160088,2.0,3.0,3.0,3.5,2.0,0.0,2.0,3.5,2.0,2.5,2.0,3.5,3.0,2.0,2.0,2.5,2.5,2.0,1.0,0
43,44,1202160089,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,3.0,3.5,3.5,3.5,2.0,1
44,45,1202160093,3.5,3.5,3.5,2.5,3.0,3.5,2.5,3.5,2.5,3.5,3.0,3.0,4.0,3.5,3.5,3.0,3.0,3.5,2.0,1
45,46,1202160095,2.0,0.0,2.0,0.0,0.0,1.0,2.0,3.5,3.0,3.0,2.5,1.0,2.5,0.0,0.0,0.0,2.0,3.0,2.0,0
46,47,1202160096,3.0,2.0,3.5,3.5,3.5,4.0,3.5,3.5,2.5,3.0,3.0,4.0,3.5,2.5,2.0,2.5,3.5,2.0,2.0,1
47,48,1202160098,4.0,3.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,3.5,1
48,49,1202160101,4.0,3.5,3.5,3.5,2.5,2.0,2.5,3.5,2.5,3.0,2.5,3.5,4.0,4.0,3.5,3.0,4.0,4.0,2.5,1
49,50,1202160103,3.5,4.0,4.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,3.0,4.0,4.0,3.5,2.5,3.5,3.5,3.5,3.5,1
50,51,1202160105,4.0,4.0,4.0,4.0,4.0,2.5,4.0,4.0,3.5,4.0,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,1
51,52,1202160107,3.5,2.5,3.5,3.5,2.5,2.5,3.5,3.5,2.5,3.5,2.5,3.5,3.0,2.0,3.5,2.5,3.5,2.0,3.0,1
52,53,1202160110,2.5,3.5,4.0,3.5,2.5,3.5,3.0,3.0,3.0,4.0,2.5,2.0,3.5,2.5,3.5,3.0,4.0,4.0,2.5,1
53,54,1202160111,3.5,3.5,3.5,4.0,3.5,4.0,4.0,4.0,3.0,4.0,3.5,4.0,4.0,3.5,3.0,3.5,4.0,4.0,3.5,1
54,55,1202160112,3.5,3.0,3.5,4.0,3.5,2.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,3.5,2.0,3.5,4.0,3.0,2.0,1
55,56,1202160117,4.0,4.0,4.0,3.5,4.0,3.0,4.0,4.0,3.5,4.0,3.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,3.5,1
56,57,1202160118,3.0,3.5,4.0,3.5,2.0,3.0,3.5,4.0,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,2.0,1
57,58,1202160120,3.5,3.5,3.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,3.5,1.0,3.5,4.0,3.0,3.0,1
58,59,1202160121,3.5,3.0,3.5,3.5,3.5,3.0,2.5,3.5,2.0,2.5,2.5,3.5,3.0,3.5,3.5,3.0,3.0,2.5,2.0,1
59,60,1202160124,3.5,3.5,2.5,3.5,3.0,2.5,3.5,3.5,3.0,3.5,2.0,3.5,3.0,3.5,2.5,3.0,3.0,2.0,3.0,1
60,61,1202160126,3.5,4.0,4.0,3.5,2.0,4.0,3.5,4.0,3.5,3.0,2.0,2.5,3.5,3.5,3.5,3.5,3.5,4.0,2.5,1
61,62,1202160127,3.5,3.5,3.5,4.0,3.5,3.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,3.0,3.0,3.0,3.5,3.5,2.5,1
62,63,1202160130,3.5,3.0,3.5,3.0,3.5,3.0,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,2.5,3.5,3.5,2.5,3.0,1
63,64,1202160132,4.0,3.5,3.5,3.5,3.5,3.0,4.0,3.5,3.0,3.5,2.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,3.5,1
64,65,1202160133,4.0,4.0,4.0,3.0,3.5,3.5,4.0,3.5,2.5,3.5,3.0,3.5,4.0,4.0,3.5,3.0,3.5,4.0,2.5,1
65,66,1202160134,3.0,3.5,3.5,2.5,2.0,2.0,2.5,3.5,2.0,3.5,1.0,0.0,2.0,2.5,3.5,3.5,3.5,3.5,3.0,0
66,67,1202160135,3.5,4.0,4.0,4.0,3.5,4.0,4.0,3.5,3.5,4.0,3.0,4.0,4.0,3.5,1.0,2.5,3.5,3.5,3.5,1
67,68,1202160138,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.5,3.0,2.5,3.5,1
68,69,1202160141,3.5,2.5,3.0,2.0,2.0,2.0,1.0,3.5,2.0,2.0,2.5,1.0,3.0,3.0,2.5,2.0,3.0,3.0,4.0,1
69,70,1202160145,3.5,2.5,3.5,3.5,3.5,2.0,3.0,4.0,3.5,3.5,4.0,3.5,2.5,3.5,4.0,4.0,3.5,4.0,2.0,1
70,71,1202160148,3.5,3.5,3.5,3.5,2.5,2.5,2.0,3.5,2.5,3.0,2.0,3.5,2.0,3.5,3.0,3.0,3.0,2.0,3.0,1
71,72,1202160151,3.5,3.5,3.5,4.0,3.5,4.0,4.0,3.5,3.5,3.5,3.0,4.0,4.0,3.5,2.0,3.5,3.5,3.5,3.5,1
72,73,1202160153,3.5,0.0,1.0,2.0,0.0,1.0,4.0,3.0,1.0,3.5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.5,0
73,74,1202160154,3.0,3.5,3.5,3.5,3.5,2.0,3.0,3.0,3.0,3.5,3.0,2.5,3.5,3.0,3.0,3.5,3.5,2.0,3.5,1
74,75,1202160155,4.0,4.0,4.0,3.5,3.5,2.5,3.0,2.0,2.5,3.0,2.5,3.5,3.5,4.0,3.0,3.5,3.5,3.0,3.5,1
75,76,1202160160,2.5,3.0,3.5,4.0,3.0,2.0,4.0,4.0,3.0,3.0,2.5,3.5,3.5,3.5,1.0,2.5,3.5,2.5,2.5,1
76,77,1202160167,3.5,4.0,3.5,3.5,3.5,2.5,3.0,4.0,2.0,3.5,3.0,3.0,3.0,2.5,2.5,3.5,3.5,4.0,2.5,1
77,78,1202160169,2.5,3.5,3.0,4.0,3.0,0.0,2.0,3.5,3.0,2.5,2.0,2.5,3.5,2.5,1.0,2.0,3.0,2.0,1.0,0
