No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Pilihan 2,Peminatan
42,1202160086,3.5,4,0,3.5,3.5,3,3.5,4,4,3,3.5,3,3.5,4,3.5,3,3.5,3.5,4,0,EA,EAD,EAA
43,1202160088,2,3,0,3,3.5,2,0,2,3.5,2,2.5,2,3.5,3,2,2,2.5,2.5,2,0,EA,EAD,EAD
44,1202160089,3.5,3.5,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,0,ISM,EDM,ISM
45,1202160093,3.5,3.5,0,3.5,2.5,3,3.5,2.5,3.5,2.5,3.5,3,3,4,3.5,3.5,3,3,3.5,0,ERP,EDM,ERP
46,1202160095,2,0,0,2,0,0,1,2,3.5,3,3,2.5,1,2.5,0,0,0,2,3,0,ISM,EAD,ISM
47,1202160096,3,2,0,3.5,3.5,3.5,4,3.5,3.5,2.5,3,3,4,3.5,2.5,2,2.5,3.5,2,0,EDM,ISM,EDM
48,1202160098,4,3.5,0,3.5,4,4,3.5,3.5,3.5,4,3.5,3.5,4,3.5,3.5,3.5,4,3.5,3.5,0,EDM,ISM,EDM
49,1202160101,4,3.5,0,3.5,3.5,2.5,2,2.5,3.5,2.5,3,2.5,3.5,4,4,3.5,3,4,4,0,EA,EDM,EAA
50,1202160103,3.5,4,0,4,4,3.5,3.5,4,4,3.5,4,3,4,4,3.5,2.5,3.5,3.5,3.5,0,ERP,EDM,ERP
51,1202160105,4,4,0,4,4,4,2.5,4,4,3.5,4,4,3.5,3.5,4,3.5,3.5,3.5,3.5,0,EA,EDM,EAA
52,1202160107,3.5,2.5,0,3.5,3.5,2.5,2.5,3.5,3.5,2.5,3.5,2.5,3.5,3,2,3.5,2.5,3.5,2,0,EA,EDM,EDM
53,1202160110,2.5,3.5,0,4,3.5,2.5,3.5,3,3,3,4,2.5,2,3.5,2.5,3.5,3,4,4,0,EDM,ISM,EDM
54,1202160111,3.5,3.5,0,3.5,4,3.5,4,4,4,3,4,3.5,4,4,3.5,3,3.5,4,4,0,ERP,EDM,ERP
55,1202160112,3.5,3,0,3.5,4,3.5,2.5,3.5,3.5,3.5,3,3,3.5,3.5,3.5,2,3.5,4,3,0,ISM,EDM,ISM
56,1202160117,4,4,0,4,3.5,4,3,4,4,3.5,4,3,3.5,4,4,3.5,4,4,4,0,ERP,EDM,ERP
57,1202160118,3,3.5,0,4,3.5,2,3,3.5,4,3.5,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,4,0,EIM,EDM,EIM
58,1202160120,3.5,3.5,0,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,1,3.5,4,3,0,ERP,EDM,ERP
59,1202160121,3.5,3,0,3.5,3.5,3.5,3,2.5,3.5,2,2.5,2.5,3.5,3,3.5,3.5,3,3,2.5,0,ISM,EDM,ISM
60,1202160124,3.5,3.5,0,2.5,3.5,3,2.5,3.5,3.5,3,3.5,2,3.5,3,3.5,2.5,3,3,2,0,EA,EDM,EDM
61,1202160126,3.5,4,0,4,3.5,2,4,3.5,4,3.5,3,2,2.5,3.5,3.5,3.5,3.5,3.5,4,0,EIM,EAD,EIM
