No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Pilihan 2,Peminatan
182,1202160400,1,0,0,2,2,0,2,0,1,1,1,2,0,0,0,0,0,0,3.5,0,0,0,
183,1202161228,4,4,0,4,4,3.5,3.5,4,4,3.5,4,3.5,4,4,3.5,4,3,3.5,4,0,TECHNO,EA,TECHNO
184,1202162004,3,3.5,0,2,3.5,1,3,2.5,3.5,1,3.5,2,2,2.5,3.5,3.5,3,2.5,2.5,0,EIM,EDM,EIM
185,1202162006,3.5,4,0,4,3.5,3,3.5,4,3.5,2,3.5,2.5,4,3.5,3.5,3,3.5,4,4,0,ISM,EAD,ISM
186,1202162042,4,3.5,0,3.5,3.5,3.5,3,4,3,3,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,2.5,0,EAD,ERP,EAD
187,1202162097,3.5,3.5,0,3.5,3,3.5,2,2,3.5,3,2.5,3,3.5,2.5,2.5,3,3.5,1,3,0,TECHNO,EIM,TECHNO
188,1202162137,4,3.5,0,3.5,3.5,3.5,3.5,4,4,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,0,ISM,EDM,ISM
189,1202162144,3.5,3.5,0,3.5,4,4,3.5,4,4,3.5,4,3.5,4,4,4,2.5,4,4,3,0,EDM,EA,EDM
190,1202162175,4,4,0,4,3.5,2.5,3.5,4,4,3.5,3.5,3,4,4,3.5,4,4,4,4,0,EIM,EAD,EIM
191,1202162198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
192,1202162252,4,3.5,0,3.5,3.5,3.5,3.5,2,2.5,3,2.5,2.5,3,3.5,3.5,4,3.5,3,2.5,0,EA,EAD,EAA
193,1202162274,4,2,0,3,4,2.5,3,3.5,4,3.5,4,2.5,4,4,2.5,3,3.5,3.5,3.5,0,TECHNO,ERP,TECHNO
194,1202162310,3.5,3,0,3.5,3,3,2,2,3,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,2,0,EIM,EAD,EIM
195,1202162319,3,3.5,0,2,3.5,3,3.5,3,2.5,2.5,3.5,3,4,3.5,3.5,2,3.5,3.5,3,0,ERP,EDM,ERP
196,1202162336,4,3.5,0,3.5,3.5,3.5,1,3.5,4,4,2.5,3.5,1,3.5,3.5,3.5,3.5,3.5,3,0,ISM,TECHNO,ISM
197,1202162337,4,3.5,0,3,3.5,3.5,3,2.5,3,3.5,3.5,2.5,3.5,3,3.5,3,3.5,3.5,3,0,EDM,ERP,EDM
198,1202162343,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,0,TECHNO,EA,TECHNO
199,1202162356,3.5,3,0,3.5,2.5,3,2,1,3.5,2,2.5,2,0,3,3,3,3,2.5,3.5,0,EIM,EAD,EIM
200,1202162369,3,3,0,0,3,3,1,3.5,2.5,2,3,2.5,2,2.5,1,2,2.5,3.5,2.5,0,TECHNO,ISM,TECHNO
201,1202162376,3,3,0,2.5,3.5,3.5,3,3,3.5,2.5,3.5,3,3.5,3.5,2.5,2,3.5,4,2.5,0,ERP,EDM,ERP
202,1202162378,3,2.5,0,1,3,3,2,3,3,2,2.5,3.5,3.5,3.5,2,2,3,3.5,2,0,ERP,EDM,ERP
203,1202162384,3.5,3.5,0,3.5,2.5,2,3,4,4,2.5,3.5,3,2,4,4,3,0,3.5,3.5,0,EA,EDM,EAA
204,1202162386,2.5,3.5,0,2.5,3,1,1,2,3,2,2,2,2.5,3.5,3.5,2,2,3.5,2,0,EIM,EDM,EDM
205,1202162389,3.5,3.5,0,3.5,3.5,3.5,2,3,3.5,3,3,3.5,2.5,3,3.5,2,2.5,1,3,0,ERP,EDM,ERP
206,1202163018,4,3.5,0,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,4,3.5,4,3.5,4,3.5,3.5,0,EAD,EA,EAD
207,1202163060,3,3.5,0,2.5,3.5,2.5,1,2,3.5,2,3.5,2,0,2.5,3.5,3,2,2.5,2,0,ISM,EDM,ISM
208,1202163099,3,3.5,0,3.5,3.5,3,2,2,2,2,2.5,2.5,3,3.5,3.5,2,3,3,2,0,ERP,EDM,ERP
209,1202163104,2.5,3.5,0,3.5,4,3.5,0,2,3,3.5,3,2.5,4,3.5,3.5,2,2.5,3.5,2.5,0,EA,EDM,EAA
210,1202163115,3.5,3.5,0,3.5,3.5,4,2.5,3,3,3,2.5,2,3.5,3.5,4,3.5,4,3.5,2.5,0,EIM,TECHNO,EIM
211,1202163119,3.5,3.5,0,3.5,3.5,4,1,3.5,4,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,0,TECHNO,EIM,TECHNO
212,1202163163,4,3.5,0,3.5,3.5,3.5,3.5,4,3.5,3,3.5,3,4,3.5,4,3.5,3.5,3.5,2.5,0,EA,EDM,EAA
213,1202163170,3,3.5,0,3.5,3.5,2.5,2,3,3.5,2.5,2,3,3,3,3,3.5,3,2,2.5,0,ISM,TECHNO,ISM
214,1202163220,0,0,0,0,3,0,0,0,1,0,3.5,3,0,0,0,0,0,0,2,0,0,0,
215,1202163239,4,3.5,0,2.5,2.5,3,3.5,3,3.5,2.5,3,2.5,2,3.5,3,3,3,3,3.5,0,ERP,EDM,ERP
216,1202163246,4,3.5,0,3,3.5,3.5,3,3.5,4,2,3.5,2,3,3.5,4,3.5,3.5,3.5,3,0,TECHNO,ISM,TECHNO
217,1202163259,3.5,3.5,0,4,4,3.5,3.5,4,4,4,3.5,2.5,4,4,3.5,4,4,3.5,3.5,0,EIM,EAD,EIM
218,1202163291,3,3,0,2.5,1,0,1,2.5,2.5,2,3.5,2.5,2,2.5,1,1,0,2,3,0,ISM,EAD,ISM
219,1202163296,3.5,3.5,0,3,3.5,2,3.5,3.5,3.5,2,3.5,2.5,2.5,3,4,3.5,3.5,3,2,0,EA,EDM,EAA
220,1202163401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,
221,1202163402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,
222,1202164001,4,3.5,0,3.5,4,3.5,3,3.5,4,3.5,3.5,3.5,3.5,3,4,3.5,3.5,3.5,3.5,0,ISM,EDM,ISM
223,1202164003,2,3,0,3,3.5,2.5,2,2,2,2,2.5,2,2,2.5,3,2.5,3.5,3.5,2,0,EIM,EAD,EIM
224,1202164005,4,3.5,0,3.5,3,2,3.5,2,3.5,2,3,2,2.5,3,4,3.5,2.5,3,3.5,0,EIM,TECHNO,EIM
225,1202164007,3.5,3.5,3.5,3.5,4,3.5,1,3.5,3.5,3.5,3,3.5,3.5,4,3.5,3.5,3.5,3,3.5,0,EIM,EDM,EIM
226,1202164008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
227,1202164012,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3,3.5,2.5,3.5,3.5,4,3.5,4,3,2.5,0,ISM,EDM,ISM
228,1202164014,3.5,3.5,2,3.5,3.5,2,3.5,3,3.5,3,3,2,4,3.5,2.5,2.5,2.5,3.5,3.5,0,TECHNO,ISM,TECHNO
229,1202164016,4,3,4,3.5,4,4,3.5,2.5,4,3.5,2.5,3,3.5,3.5,3,1,3.5,3.5,3,0,EAD,EIM,EAD
230,1202164017,3.5,3,3,2.5,3.5,3,1,2.5,3.5,2.5,2,3,3,2.5,3,2,3,2.5,3.5,0,EDM,EIM,EDM
231,1202164021,3.5,3.5,2.5,3.5,3.5,2.5,3.5,3,3.5,2.5,3.5,3.5,2.5,3.5,3.5,3,2,3,4,0,EAD,EA,EAD
232,1202164022,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,
233,1202164025,3.5,3,3.5,3.5,3.5,3.5,2,3.5,3.5,3,3,3.5,3.5,3,3.5,3.5,4,3.5,3.5,0,EIM,EDM,EIM
234,1202164026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
235,1202164027,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,2,3,2.5,2.5,3.5,3.5,4,3,3.5,3,2.5,0,ISM,EAD,ISM
236,1202164029,3.5,3.5,3,3.5,3.5,3,3,2.5,4,2.5,3,2,3,4,4,3.5,3,2.5,3.5,0,EIM,EAD,EIM
237,1202164031,3,3.5,3.5,3.5,4,3.5,4,4,4,3.5,3.5,3,3.5,4,3.5,2,4,3,3.5,0,EIM,EIM,EIM
238,1202164032,4,3,4,3.5,4,4,2,3.5,4,3.5,4,3.5,3.5,3.5,3.5,2.5,4,3.5,3.5,0,TECHNO,ERP,TECHNO
239,1202164033,2.5,3,3.5,3,2.5,3.5,0,2,3,2.5,2,3,0,2.5,2.5,3,2,1,3,0,0,0,
240,1202164035,2.5,3,2,0,3,2,2.5,2,2,2.5,2.5,2,2,2.5,3,2.5,2,2.5,2,0,ISM,EAD,ISM
241,1202164037,3.5,1,2,3.5,3,2,2,2,3.5,2.5,3.5,2,3,3.5,3.5,3,2,3.5,3.5,0,EA,TECHNO,EA
242,1202164038,3,3.5,2.5,3.5,3.5,2.5,3.5,3,3.5,3.5,3.5,2,4,3.5,3,3,2.5,3.5,3.5,0,EA,EDM,EAA
243,1202164039,4,4,3.5,4,4,3.5,4,4,4,3.5,3.5,3.5,4,4,3.5,4,3.5,3.5,3.5,0,EIM,EDM,EIM
244,1202164040,3,3.5,3.5,3.5,4,3.5,2.5,3.5,4,3,4,3.5,4,3.5,3,2.5,3,3.5,2.5,0,EA,EAD,EAA
245,1202164049,0,0,0,0,0,0,0,1,3,0,2,2.5,0,0,0,0,0,0,0,0,0,0,
246,1202164056,2.5,3,3.5,3.5,3.5,3.5,2.5,2.5,3,3.5,2.5,3.5,4,3.5,3,2.5,2.5,3.5,2.5,0,EA,EDM,EDM
247,1202164058,4,3.5,4,3.5,4,4,2.5,3.5,4,4,4,3.5,2.5,3.5,4,4,4,3.5,4,0,TECHNO,EIM,TECHNO
248,1202164064,2,2.5,3,3.5,3.5,3,0,1,3.5,1,2.5,2.5,3.5,3.5,2,1,2,3,2,0,EA,EDM,EDM
249,1202164065,3.5,3.5,3.5,3.5,3.5,3.5,2,3.5,3.5,3,3,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0,ERP,EDM,ERP
250,1202164068,3,3.5,3.5,2.5,3,3.5,2,2.5,4,2.5,3,1,2.5,3.5,4,3,3,2.5,2,0,ISM,EDM,ISM
251,1202164069,2.5,3,2,3.5,2.5,2,2.5,2,3.5,2,2.5,1,1,3,3.5,2.5,2,2,3.5,0,EAD,ERP,EAD
252,1202164071,3,3.5,3.5,3.5,3.5,3.5,2,2.5,3.5,3.5,3,2.5,3.5,3.5,2.5,1,2,3,3,0,ISM,EAD,ISM
253,1202164072,4,3.5,4,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,2,4,3.5,3,0,EDM,ISM,EDM
254,1202164073,3.5,3.5,3.5,3,3.5,3.5,2.5,2,4,2.5,3.5,3.5,3.5,3,3.5,2.5,2.5,3.5,2.5,0,ISM,EDM,ISM
255,1202164075,0,1,0,1,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,
256,1202164077,3.5,3.5,3,3.5,3.5,3,3.5,3.5,4,2.5,3,2.5,3.5,3.5,4,3.5,3.5,3.5,4,0,EDM,ERP,EDM
257,1202164078,0,2,2,3.5,3,2,2,1,2,2.5,2.5,1,0,2,1,2.5,2,2,3,0,ISM,EDM,ISM
258,1202164079,2.5,3.5,3,3.5,3.5,3,2,2.5,3,3,3,2.5,3.5,3.5,2,2,2,3,3,0,ERP,ERP,ERP
259,1202164081,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3,3.5,2.5,2.5,3.5,3.5,3.5,3,3.5,3,3.5,3,0,EA,EDM,EAA
260,1202164085,4,3.5,4,3.5,3.5,4,3.5,3.5,4,4,3.5,2,3.5,3.5,4,4,4,3,4,0,TECHNO,EIM,TECHNO
261,1202164087,4,4,4,3.5,4,4,3.5,4,4,4,4,3.5,4,4,3.5,4,4,4,4,0,EIM,EDM,EIM
262,1202164090,3.5,3,3.5,3,3.5,3.5,2.5,3,3.5,3,3.5,3,4,2.5,3,3,3,2.5,2.5,0,EA,EAD,EAD
263,1202164091,3,3.5,3,2.5,3.5,3,1,2,2.5,2,3,1,2.5,3,3.5,2.5,3.5,3,2,0,ISM,EAD,ISM
264,1202164092,4,4,3.5,3.5,4,3.5,3.5,4,4,3,3.5,2,3.5,3.5,4,4,4,3,3.5,0,EIM,TECHNO,EIM
265,1202164094,2,3,1,3,3,1,2.5,3.5,2,2,3,1,0,2,2,2.5,2,1,3.5,0,ISM,EDM,ISM
266,1202164100,0,0,0,0,0,0,0,2,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,
267,1202164102,3,2.5,0,2,3,0,2,3.5,2,0,2.5,0,0,0,0,3,0,0,3.5,0,0,0,
268,1202164106,3.5,2.5,3.5,3,3,3.5,2,1,2.5,2.5,2.5,2,2.5,3,3.5,3,2.5,2,2,0,EDM,EA,EDM
269,1202164108,0,0,0,0,0,0,0,1,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,
270,1202164109,3,3.5,2,3,2.5,2,3,1,3,2.5,3,1,2,3.5,2.5,2,2,2.5,3,0,ERP,EAD,ERP
271,1202164113,4,4,3.5,3.5,4,3.5,4,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,0,EA,TECHNO,EAA
272,1202164114,3.5,3.5,3.5,3.5,4,3.5,3,4,3.5,3,3.5,3.5,4,3.5,3.5,3,4,3,2.5,0,EA,EAD,EAA
273,1202164116,3.5,3.5,3.5,2,3.5,3.5,2,3.5,3.5,2.5,3,2,2.5,3,3.5,3.5,3,2.5,2,0,ISM,EDM,ISM
274,1202164121,4,3.5,4,3.5,3.5,4,3.5,3.5,4,2.5,3.5,3.5,4,4,3.5,4,4,3.5,4,0,EIM,TECHNO,EIM
275,1202164122,3.5,3.5,4,3.5,3.5,4,3.5,3.5,3.5,4,4,3.5,4,4,4,3,4,4,3,0,EDM,ERP,EDM
276,1202164123,4,4,2.5,4,3.5,2.5,3,2,4,3,2,3.5,2.5,3.5,4,4,3.5,4,3,0,EA,TECHNO,EAA
277,1202164125,4,3.5,3.5,3.5,3.5,3.5,4,4,4,3.5,3.5,2.5,4,4,4,3.5,3,3.5,4,0,ERP,EDM,ERP
278,1202164128,2.5,3,3.5,3.5,4,3.5,1,3,3.5,3,3,2.5,3.5,4,2,2,2,3.5,3,0,EA,EDM,EDM
279,1202164129,4,3.5,4,4,3.5,4,3.5,4,4,3.5,4,4,4,3.5,4,4,4,4,4,0,EDM,EIM,EDM
280,1202164131,4,3.5,3.5,3.5,3.5,3.5,3.5,4,4,3,3.5,2,4,3.5,4,3.5,3,3.5,3,0,EA,TECHNO,EAA
281,1202164136,3.5,3.5,3.5,3.5,4,3.5,3.5,4,4,3.5,3.5,2.5,4,4,3.5,2,3.5,3.5,2.5,0,TECHNO,ERP,TECHNO
282,1202164139,3.5,3.5,3.5,3,3.5,3.5,1,2,3.5,2,2.5,2,2,3,4,3,2,3.5,2,0,ISM,TECHNO,ISM
283,1202164140,4,4,4,3,4,4,2.5,3.5,3.5,3,4,2.5,3.5,3.5,4,3.5,4,3.5,3.5,0,EDM,EDM,EDM
284,1202164142,3.5,3.5,3,4,3.5,3,3.5,4,4,3.5,3.5,3,4,3.5,3.5,3.5,3.5,4,4,0,EDM,ISM,EDM
285,1202164143,3.5,4,4,4,4,4,4,4,4,3.5,3.5,3,4,4,3.5,2,3,3.5,3.5,0,ISM,EAD,ISM
286,1202164146,4,3.5,4,4,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,4,4,3,0,TECHNO,EIM,TECHNO
287,1202164147,3.5,3.5,2,3.5,3.5,2,3,3,3.5,2,2.5,2,2,2.5,4,2.5,2.5,3,2,0,ISM,EAD,ISM
288,1202164149,3,3.5,2.5,3.5,3.5,2.5,3.5,2,3.5,2.5,3.5,2,2.5,4,4,2.5,2.5,3.5,3.5,0,EA,EDM,EAA
289,1202164150,3.5,4,3.5,4,3.5,3.5,3,2.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,4,0,EDM,EIM,EDM
290,1202164152,0,3,2.5,3,3.5,2.5,1,2,3.5,2,2.5,2.5,2.5,3,2,2,1,3,2.5,0,EIM,EDM,EDM
291,1202164156,4,4,4,3,4,4,3.5,4,4,4,4,2.5,4,3.5,4,3.5,4,4,3.5,0,EDM,EIM,EDM
292,1202164157,3.5,3,3.5,3.5,3.5,3.5,2.5,2,4,2.5,3,2,2,3,3.5,3.5,2,3,4,0,EDM,ISM,EDM
293,1202164158,3,4,2.5,3.5,3.5,2.5,2.5,3,4,3.5,3.5,2,3,2,3,3.5,3.5,3.5,4,0,EIM,EAD,EIM
294,1202164159,1,2,2,3.5,3.5,2,0,2.5,2.5,2,3.5,2,2,0,1,0,2,3,3,0,ISM,ISM,ISM
295,1202164161,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3.5,3.5,3,3.5,3.5,2.5,3.5,3.5,3,3,3.5,0,ERP,EDM,ERP
296,1202164162,3,3,2,0,3,2,2,2,2,2.5,2.5,2,0,0,2,2,2,2,2,0,EA,EAD,EAD
297,1202164164,0,0,0,0,0,0,0,3,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,
298,1202164165,4,4,3.5,3.5,3.5,3.5,4,3.5,3.5,3,4,3.5,4,3.5,3.5,3,3.5,4,3.5,0,ISM,EDM,ISM
299,1202164166,2,3.5,2,3.5,2.5,2,3.5,3,4,2.5,3,2,1,3,4,2.5,2.5,2.5,3.5,0,ISM,EDM,ISM
300,1202164168,3.5,3.5,3.5,3.5,4,3.5,2,2,3.5,3.5,3,2.5,3.5,3.5,2.5,2.5,3,3.5,3,0,EIM,EDM,EIM
301,1202164172,4,4,4,4,4,4,4,4,4,2.5,4,2,4,4,4,4,4,4,3.5,0,ERP,EDM,ERP
302,1202164174,4,3.5,3,3.5,3,3,2,2,3.5,2,3,2.5,2,3,2,3,2,2.5,3.5,0,TECHNO,ISM,TECHNO
303,1202164176,3,3,3.5,3.5,3.5,3.5,2,3.5,3.5,2,3,2.5,3.5,3.5,2.5,1,3.5,3.5,2.5,0,ISM,EAD,ISM
304,1202164177,3,3.5,3.5,3.5,4,3.5,4,4,4,3.5,4,3.5,4,4,3.5,2,3.5,3.5,2.5,0,ERP,TECHNO,ERP
305,1202164181,2.5,3.5,2,0,3.5,2,1,1,1,2.5,3.5,2,0,2.5,0,0,2.5,0,2,0,ISM,TECHNO,ISM
306,1202164187,3,3.5,3.5,3,3.5,3.5,1,2,2,2.5,2,2.5,3.5,3,3.5,3.5,3.5,2.5,2,0,EDM,ERP,EDM
307,1202164188,3.5,3.5,2,3.5,3.5,2,3,3,2.5,2,3.5,2,3.5,2.5,4,3,3,3.5,2.5,0,ISM,EAD,ISM
308,1202164189,3.5,3.5,2.5,3,3.5,2.5,2.5,3.5,4,2.5,3.5,2.5,3.5,3,4,3,3.5,3,3,0,TECHNO,EIM,TECHNO
309,1202164193,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,3.5,3,4,4,4,0,ERP,EDM,ERP
310,1202164194,4,3,3.5,3.5,3.5,3.5,2,3.5,3.5,3.5,3,4,3.5,2.5,3.5,3.5,4,3.5,4,0,EIM,EAD,EIM
311,1202164199,0,0,0,0,0,0,0,3.5,2,0,3.5,2,0,0,0,0,0,0,0,0,0,0,
312,1202164201,3.5,3,4,3,4,4,3.5,4,4,3.5,3,3,3.5,4,3,2,3,3.5,3,0,EA,EDM,EAA
313,1202164203,3.5,3.5,3.5,4,3.5,3.5,4,4,4,3.5,4,3.5,4,3.5,4,2.5,3.5,4,2.5,0,EA,EAD,EAA
314,1202164204,4,3.5,4,3.5,3.5,4,3.5,4,4,3,3.5,2.5,3.5,3.5,4,3,3.5,3,2,0,TECHNO,EA,TECHNO
315,1202164207,4,3.5,4,4,3.5,4,3,4,4,4,4,2,3.5,3.5,3.5,3.5,4,3.5,4,0,EDM,EIM,EDM
316,1202164208,2,1,0,3.5,2,0,1,2.5,3.5,2,2,2.5,3,0,2,1,0,0,2.5,0,ISM,EAD,EAD
317,1202164209,2,2,3.5,3.5,3.5,3.5,0,1,3.5,2,2.5,2.5,2.5,3,2,1,1,2.5,2,0,EAD,ERP,EAD
318,1202164211,2.5,2,3.5,3,3,3.5,2,2,2.5,2,2.5,2.5,3.5,3,2.5,3,3,2,2,0,EDM,EA,EDM
319,1202164213,4,4,4,3.5,3.5,4,3.5,4,4,4,3.5,3.5,3.5,3.5,4,4,4,4,3.5,0,TECHNO,EA,TECHNO
320,1202164221,3.5,3,2,2.5,3,2,2,1,3.5,2,3,2,2,2.5,2,2,2,2,2,0,ISM,ISM,ISM
321,1202164223,3.5,3.5,3,4,3.5,3,3.5,3.5,4,3.5,4,2.5,3.5,3.5,3,3.5,3.5,4,4,0,EIM,EDM,EIM
322,1202164224,3.5,3.5,4,3.5,4,4,3.5,4,4,3,3.5,2.5,4,4,3.5,3,3.5,3.5,3.5,0,EAD,ERP,EAD
323,1202164225,4,3,3.5,4,4,3.5,3.5,3.5,4,3,4,3.5,4,4,3.5,2.5,4,3.5,3,0,EIM,EAD,EIM
324,1202164226,3,0,0,0,0,0,2,3,2.5,0,2,2,0,0,0,0,0,0,2.5,0,0,0,
325,1202164230,3,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3,3.5,2,3,3.5,4,3,3.5,3,2.5,0,TECHNO,ISM,TECHNO
326,1202164231,2,2,0,2,0,0,3,1,1,1,3,1,0,2,0,2,2,0,2,0,EIM,EAD,EAD
327,1202164233,3,3,3,3.5,4,3,1,3.5,3.5,3.5,3,2.5,3.5,3.5,3,1,2.5,3,3,0,ERP,EAD,ERP
328,1202164235,3.5,3,2,0,2.5,2,0,1,3.5,2,2.5,2.5,2,2,2.5,3,2.5,2,2.5,0,ISM,TECHNO,ISM
329,1202164238,4,3,2.5,3.5,3.5,2.5,2,2.5,3.5,2.5,3.5,2.5,3,3,4,2.5,3,3.5,2.5,0,ISM,TECHNO,ISM
330,1202164241,3,3.5,4,3,3.5,4,3.5,4,4,3.5,3,3,3.5,4,3,2.5,3.5,3.5,3,0,EA,TECHNO,EAA
331,1202164242,3.5,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,3,3,3,4,3.5,2,3.5,3.5,2.5,0,EA,EDM,EAA
332,1202164243,3,3,3.5,3.5,3.5,3.5,2.5,2,3.5,2.5,2.5,3,3,2.5,3,2,3,3.5,3,0,ISM,EDM,ISM
333,1202164244,3,3.5,3.5,3.5,4,3.5,2,2.5,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3,2,0,EA,EDM,EAA
334,1202164245,4,3.5,4,4,3.5,4,4,4,3.5,3.5,4,2.5,4,4,4,3.5,4,3,3,0,TECHNO,ISM,TECHNO
335,1202164249,2.5,3.5,3.5,4,3.5,3.5,1,3,3.5,3,3.5,2.5,3.5,4,3,2,3.5,4,3.5,0,EA,TECHNO,EAA
336,1202164250,3.5,3.5,3,2,4,3,1,3.5,3.5,1,3,2.5,3.5,4,0,2,2.5,3.5,1,0,0,0,
337,1202164254,2.5,3.5,3,2,3,3,3.5,2.5,3.5,2.5,2,3,2.5,3.5,3,2,2.5,3.5,2,0,ERP,TECHNO,ERP
338,1202164260,4,3.5,4,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3,3.5,0,EDM,EIM,EDM
339,1202164261,3.5,3.5,3.5,3.5,4,3.5,3,2.5,4,2,3,3.5,3.5,3.5,4,3,3.5,3,2.5,0,ERP,EDM,ERP
340,1202164263,3.5,3.5,2.5,4,3.5,2.5,2,2.5,3.5,3.5,3.5,2,3.5,3,3.5,2,2.5,3,2,0,ISM,EDM,ISM
341,1202164270,3.5,3,2,4,3.5,2,3,2.5,3,2.5,3.5,2,3,2.5,4,3,3.5,3,2,0,ERP,EDM,ERP
342,1202164271,3.5,3,2,2.5,3,2,1,1,3,2,3.5,1,0,0,3.5,2,2,0,1,0,ISM,EDM,ISM
343,1202164272,4,3.5,2,3.5,3,2,2,1,3,2,2.5,2,0,3.5,3,2,2,2.5,3,0,EA,EDM,EDM
344,1202164273,4,4,3.5,4,3.5,3.5,3.5,4,3.5,4,3.5,3,3.5,3.5,2.5,4,3,3.5,4,0,EAD,ISM,EAD
345,1202164275,2,3,3.5,3.5,3.5,3.5,0,1,3.5,3,2.5,2.5,3,3,2,2,2,3.5,2,0,EA,TECHNO,EA
346,1202164276,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3,4,3.5,0,TECHNO,ISM,TECHNO
347,1202164279,2.5,3,3,3,3.5,3,2,3,3,2.5,2,2.5,3.5,3.5,3,2,2.5,3.5,2,0,ERP,EDM,ERP
348,1202164280,3,3,1,2,3,1,1,2,2.5,0,3,1,0,2.5,2.5,2,2,2.5,1,0,EDM,ISM,EDM
349,1202164284,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,4,0,4,3.5,3.5,3.5,3.5,2.5,4,4,3.5,0,EIM,TECHNO,EIM
350,1202164285,3,3.5,3.5,4,3.5,3.5,1,2.5,3.5,0,2.5,3,2.5,3,3,3,3,4,3,0,EDM,EA,EDM
351,1202164286,3,3.5,3.5,3,3.5,3.5,2.5,3.5,3,0,3.5,2,4,3.5,3.5,3.5,3,3.5,2.5,0,ERP,EAD,ERP
352,1202164287,4,3.5,2.5,3.5,3.5,2.5,2.5,4,3.5,0,3.5,3.5,4,3,4,3.5,3.5,3,2.5,0,ERP,EAD,ERP
353,1202164289,4,3.5,3,3.5,3.5,3,3.5,3,4,0,3,2.5,3,4,4,3,2,3.5,4,0,EAD,EA,EAD
354,1202164290,3.5,4,3.5,3.5,4,3.5,3.5,4,4,0,3.5,3,4,3.5,3,3,3,3.5,3.5,0,EDM,EDM,EDM
355,1202164298,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
356,1202164301,3.5,3.5,3,4,3,3,2,2,3.5,0,2,3,3,3,3.5,3.5,3.5,3,3.5,0,EDM,EIM,EDM
357,1202164302,3.5,2.5,3,3.5,3.5,3,1,2,2.5,0,2.5,2,2,3,3,3.5,2.5,2,2,0,EDM,EA,EDM
358,1202164304,3.5,3.5,2.5,3.5,3.5,2.5,2,2.5,3.5,0,4,2,3.5,3,4,3.5,3,4,3.5,0,EIM,TECHNO,EIM
359,1202164305,4,3.5,0,3.5,3,0,2.5,2,3.5,0,3.5,2.5,0,0,4,3.5,0,0,2.5,0,EDM,EDM,EDM
360,1202164306,4,4,4,4,4,4,4,4,4,0,4,3,4,4,3.5,4,3.5,3.5,4,0,EA,EAD,EAA
361,1202164307,2.5,3.5,3.5,3.5,3.5,3.5,2,2.5,3.5,0,3,2.5,3.5,3.5,2.5,2,3,3,3.5,0,EAD,EIM,EAD
362,1202164309,0,0,0,0,0,0,0,3.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,
363,1202164311,2,2.5,0,0,3,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,
364,1202164312,4,3.5,4,2.5,3.5,4,2.5,4,3.5,0,3.5,2,2.5,3,4,3.5,3.5,2.5,2.5,0,TECHNO,EA,TECHNO
365,1202164314,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,0,3.5,3,4,4,3.5,2.5,4,4,3,0,EIM,EAD,EIM
