No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi
50,1202160103,3.5,4,4,4,3.5,3.5,4,4,3.5,4,3,4,4,3.5,2.5,3.5,3.5,3.5,3.5
51,1202160105,4,4,4,4,4,2.5,4,4,3.5,4,4,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5
52,1202160107,3.5,2.5,3.5,3.5,2.5,2.5,3.5,3.5,2.5,3.5,2.5,3.5,3,2,3.5,2.5,3.5,2,3
53,1202160110,2.5,3.5,4,3.5,2.5,3.5,3,3,3,4,2.5,2,3.5,2.5,3.5,3,4,4,2.5
54,1202160111,3.5,3.5,3.5,4,3.5,4,4,4,3,4,3.5,4,4,3.5,3,3.5,4,4,3.5
55,1202160112,3.5,3,3.5,4,3.5,2.5,3.5,3.5,3.5,3,3,3.5,3.5,3.5,2,3.5,4,3,2
56,1202160117,4,4,4,3.5,4,3,4,4,3.5,4,3,3.5,4,4,3.5,4,4,4,3.5
57,1202160118,3,3.5,4,3.5,2,3,3.5,4,3.5,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,4,2
58,1202160120,3.5,3.5,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,1,3.5,4,3,3
59,1202160121,3.5,3,3.5,3.5,3.5,3,2.5,3.5,2,2.5,2.5,3.5,3,3.5,3.5,3,3,2.5,2
60,1202160124,3.5,3.5,2.5,3.5,3,2.5,3.5,3.5,3,3.5,2,3.5,3,3.5,2.5,3,3,2,3
61,1202160126,3.5,4,4,3.5,2,4,3.5,4,3.5,3,2,2.5,3.5,3.5,3.5,3.5,3.5,4,2.5
62,1202160127,3.5,3.5,3.5,4,3.5,3.5,4,4,3.5,3.5,3,3.5,3.5,3,3,3,3.5,3.5,2.5
63,1202160130,3.5,3,3.5,3,3.5,3,4,3,3.5,3.5,3,3.5,3.5,3.5,2.5,3.5,3.5,2.5,3
64,1202160132,4,3.5,3.5,3.5,3.5,3,4,3.5,3,3.5,2.5,3.5,3.5,4,3.5,4,3.5,3.5,3.5
65,1202160133,4,4,4,3,3.5,3.5,4,3.5,2.5,3.5,3,3.5,4,4,3.5,3,3.5,4,2.5
66,1202160134,3,3.5,3.5,2.5,2,2,2.5,3.5,2,3.5,1,0,2,2.5,3.5,3.5,3.5,3.5,3
67,1202160135,3.5,4,4,4,3.5,4,4,3.5,3.5,4,3,4,4,3.5,1,2.5,3.5,3.5,3.5
68,1202160138,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3,2.5,3.5
69,1202160141,3.5,2.5,3,2,2,2,1,3.5,2,2,2.5,1,3,3,2.5,2,3,3,4
70,1202160145,3.5,2.5,3.5,3.5,3.5,2,3,4,3.5,3.5,4,3.5,2.5,3.5,4,4,3.5,4,2
71,1202160148,3.5,3.5,3.5,3.5,2.5,2.5,2,3.5,2.5,3,2,3.5,2,3.5,3,3,3,2,3
72,1202160151,3.5,3.5,3.5,4,3.5,4,4,3.5,3.5,3.5,3,4,4,3.5,2,3.5,3.5,3.5,3.5
73,1202160153,3.5,0,1,2,0,1,4,3,1,3.5,2,0,0,1,2,0,0,3,2.5
74,1202160154,3,3.5,3.5,3.5,3.5,2,3,3,3,3.5,3,2.5,3.5,3,3,3.5,3.5,2,3.5
75,1202160155,4,4,4,3.5,3.5,2.5,3,2,2.5,3,2.5,3.5,3.5,4,3,3.5,3.5,3,3.5
76,1202160160,2.5,3,3.5,4,3,2,4,4,3,3,2.5,3.5,3.5,3.5,1,2.5,3.5,2.5,2.5
77,1202160167,3.5,4,3.5,3.5,3.5,2.5,3,4,2,3.5,3,3,3,2.5,2.5,3.5,3.5,4,2.5
78,1202160169,2.5,3.5,3,4,3,0,2,3.5,3,2.5,2,2.5,3.5,2.5,1,2,3,2,1
79,1202160171,3.5,3.5,3.5,4,3.5,2,2.5,3.5,2.5,2.5,3,4,3,4,3,3.5,3,2.5,2.5
80,1202160173,4,3.5,3,3.5,3.5,2.5,3.5,3.5,3,3.5,2,3,3.5,3.5,3.5,3,3.5,3,3
81,1202160178,3,3.5,3.5,4,3.5,3,3,3.5,2.5,3,3,4,3.5,3.5,3,3,4,3.5,2.5
82,1202160179,3,3,3.5,3.5,3.5,2.5,4,2.5,3.5,3.5,3,4,3.5,4,3.5,3.5,3.5,3,2.5
83,1202160180,3.5,3,3.5,3,3,2,2,2,2,3,2,3.5,3,3.5,2.5,3.5,0,2,2.5
84,1202160182,3.5,4,3.5,3.5,3.5,3.5,3.5,4,2.5,3.5,3,3.5,4,4,3.5,2.5,3.5,3.5,3
85,1202160183,3,0,2,3.5,2,2.5,2,2,2,2,1,3,2.5,2,3.5,2,2,3.5,1
86,1202160184,4,3.5,4,4,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5,4,4,2,4,3.5,3.5,3.5
87,1202160185,3.5,2.5,3.5,4,4,3,3,4,3.5,3,3.5,3.5,4,3,3,3.5,3.5,2.5,2.5
88,1202160186,3.5,3,3.5,3,3,2,2.5,3.5,3.5,3,3.5,3.5,3.5,2.5,3.5,2.5,3.5,3.5,2.5
89,1202160190,3,3.5,2,3,2,3,2,3.5,2,3,2,1,2.5,3.5,3.5,2,2,3.5,2
90,1202160191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
91,1202160192,2.5,3.5,3.5,4,2.5,2.5,3,3.5,3.5,2.5,2.5,0,3.5,2.5,2,2,2.5,3,2
92,1202160195,3,2,3.5,3.5,0,1,2.5,3,2,3,2.5,0,0,1,2,0,0,2,0
93,1202160196,3.5,3.5,0,3.5,3.5,2,2,3.5,2.5,3.5,2.5,3.5,3,4,3,2.5,3,2.5,3
94,1202160197,4,3.5,3.5,3.5,3.5,2,4,4,4,3.5,2.5,3.5,2,4,3,4,2,3,3
95,1202160200,3.5,3,3.5,3.5,4,3,2.5,4,3.5,3.5,3.5,3,3.5,3,2,3.5,3.5,4,2.5
96,1202160202,4,4,4,4,4,2,4,4,3.5,3.5,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
97,1202160205,4,4,4,4,4,3,4,3.5,4,3.5,2.5,3.5,4,4,4,4,3.5,3.5,3.5
98,1202160206,3.5,3.5,3.5,2.5,2,3,2,3.5,2,3,2,0,3,3,2.5,2,2.5,3.5,2.5
99,1202160210,3.5,3,0,3.5,3.5,1,3.5,4,2.5,3,3,3,3,3,3.5,2,3,2.5,2.5
100,1202160212,3.5,3.5,3.5,3.5,2.5,3,3,3.5,2.5,3,3,3,3.5,4,3,3,3,2,3
101,1202160214,4,4,4,3.5,4,3,2.5,4,4,3,2.5,3.5,4,4,3.5,3.5,3.5,4,2.5
102,1202160215,4,4,3.5,3.5,3,4,4,4,3.5,3.5,3,4,4,3.5,3.5,3.5,4,4,3.5
103,1202160216,3,3.5,3.5,4,4,2.5,3.5,4,3.5,3,2.5,3.5,3.5,3,2,3,3.5,3.5,3.5
104,1202160217,0,0,0,0,0,0,3.5,3.5,0,3.5,3,0,0,0,0,0,0,0,3.5
105,1202160218,0,0,0,0,0,0,4,3.5,0,3.5,3.5,0,0,0,0,0,0,0,3.5
106,1202160219,0,0,0,0,0,0,2.5,3,0,3.5,2.5,0,0,0,0,0,0,0,3.5
107,1202160222,4,3.5,3.5,3.5,3.5,4,4,4,2.5,3.5,2.5,3,4,4,3.5,3,2.5,4,2
108,1202160227,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,2
109,1202160229,4,3.5,3.5,3.5,3.5,2,2.5,2.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3,2,3.5
110,1202160232,0,3.5,3,3,0,2.5,3.5,2.5,2,2.5,2,2.5,0,2,2.5,0,0,3,0
111,1202160234,2.5,3,3.5,3.5,3,3,3.5,3.5,3.5,2.5,2.5,4,3.5,3,3.5,3.5,3.5,3,2
112,1202160236,3.5,3,3.5,3.5,3.5,2.5,3,3,3.5,3,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3
113,1202160237,3.5,3.5,3.5,3.5,2.5,2.5,2,3.5,2.5,3,2,3.5,2.5,4,3.5,2,3.5,2.5,3.5
114,1202160240,2.5,3.5,3.5,3.5,2.5,2.5,1,3.5,3.5,3.5,2,3,3.5,2.5,3,3,4,4,2
115,1202160247,0,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,2
116,1202160248,3.5,4,3.5,4,3,3.5,4,4,3.5,2.5,2,4,3.5,3,3.5,3.5,3.5,4,2.5
117,1202160251,4,4,4,4,4,3.5,4,4,4,4,4,4,3.5,3.5,3.5,4,4,3.5,3
118,1202160253,4,3.5,4,4,4,3.5,4,4,4,3.5,3.5,3.5,3.5,4,3.5,4,3.5,3.5,3
119,1202160255,3,3.5,2.5,3.5,3.5,0,1,2.5,3,2,2,1,2,0,3.5,3.5,2.5,2,2.5
120,1202160256,3.5,4,4,3.5,3.5,3.5,4,3.5,2.5,3.5,3.5,3.5,4,4,3.5,3.5,4,3.5,2
121,1202160257,2,3,2,2,2,2.5,1,3.5,3,2.5,2,0,2.5,1,2.5,2,3,3,3.5
122,1202160258,3.5,3.5,4,4,4,4,3.5,4,3.5,3.5,3.5,4,4,3.5,3,3,4,3.5,4
123,1202160262,3,2.5,0,3,2,0,2.5,2,2.5,2.5,3,2.5,2,3,2,2,2.5,2,2
124,1202160264,4,4,4,3.5,3.5,3.5,2,4,3.5,4,3.5,3,3.5,4,4,3.5,4,4,2.5
